Model,Publication date,Organization,Domain,Task,log_parameters
"Solar Open 100B
",2025-12-31,Upstage,Language,"Language modeling/generation,Chat",11.008600171761918
K-EXAONE,2025-12-31,LG AI Research,Language,Unknown,11.372912002970107
"VAETKI
",2025-12-30,NC AI,Language,Language modeling/generation,11.0
A.X K1,2025-12-30,SK Telecom,Language,"Code generation,Language modeling/generation,Translation,Instruction interpretation,Mathematical reasoning,Chat,Language modeling,Language generation,Text autocompletion",11.715167357848458
HyperCLOVA X SEED 32B Think,2025-12-29,NAVER,"Multimodal,Language,Vision","Language modeling/generation,(Visual) Question answering,Image Understanding",10.505149978319906
GLM-4.7,2025-12-22,Z.ai (Zhipu AI),Language,"Language modeling/generation,Code generation",11.553883026643874
Claude Opus 4.5,2025-11-24,Anthropic,"Language,Multimodal,Vision","Code generation,Language modeling/generation,Quantitative reasoning,Search,Visual question answering,Translation,Image captioning,Instruction interpretation,Mathematical reasoning,Visual puzzles,Code autocompletion,Chat,Character recognition (OCR),Language modeling,Language generation,Text autocompletion,Retrieval-augmented generation,System control",
Gemini 3 Pro,2025-11-18,Google DeepMind,"Multimodal,Language,Vision",Language modeling/generation,
GPT-5.1,2025-11-13,OpenAI,"Multimodal,Language,Vision","Language modeling/generation,Question answering",
Kimi K2 Thinking,2025-11-06,Moonshot,Language,"Language modeling/generation,Question answering,Search,Quantitative reasoning,Code generation",12.0
Gen-0,2025-11-04,Generalist,Robotics,Robotic manipulation,10.0
Emu3.5,2025-10-30,Beijing Academy of Artificial Intelligence / BAAI,"Video,Multimodal,Image generation,Vision,Language,Speech","Text-to-video,Image-to-video,Image generation,Text-to-image,Visual question answering,Language modeling/generation,Question answering,Speech recognition (ASR),Video description",10.532754378992498
Kimi Linear,2025-10-30,Moonshot,Language,"Language modeling/generation,Question answering,Mathematical reasoning",10.681241237375588
Composer,2025-10-29,Cursor,Language,"Code generation,System control",
SWE-1.5,2025-10-29,Cognition,Language,Code generation,11.477121254719663
Tongyi DeepResearch,2025-10-28,Alibaba,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Search,System control",10.484299839346786
MiniMax-M2,2025-10-27,MiniMax,Language,"Code generation,System control,Search,Language modeling/generation,Question answering",11.359835482339887
LoongRL 7B,2025-10-27,"Microsoft Research Asia,Shanghai Jiao Tong University,Carnegie Mellon University (CMU)",Language,"Language modeling/generation,Question answering,Quantitative reasoning",9.845098040014257
LoongRL 14B,2025-10-27,"Microsoft Research Asia,Shanghai Jiao Tong University,Carnegie Mellon University (CMU)",Language,"Language modeling/generation,Question answering,Quantitative reasoning",10.146128035678238
Ring-mini-linear-2.0,2025-10-23,Ant Group,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning",10.214843848047698
Ring-flash-linear-2.0,2025-10-23,Ant Group,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning",11.017867718963506
Deepseek OCR,2025-10-21,DeepSeek,"Vision,Language","Character recognition (OCR),Visual question answering",9.477121254719663
BAPO 32B,2025-10-21,"Fudan University,Shanghai Qiji Zhifeng",Language,"Language modeling/generation,Question answering",10.505149978319906
Odyssey 102B,2025-10-18,Anthrogen,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation",11.008600171761918
Odyssey 12B,2025-10-18,Anthrogen,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation",10.079181246047625
Odyssey 1.2B,2025-10-18,Anthrogen,Biology,"Protein or nucleotide language model (pLM/nLM),Protein generation",9.079181246047625
Claude Haiku 4.5,2025-10-15,Anthropic,Language,"Chat,Code generation,Language modeling/generation,Question answering",
Veo 3.1,2025-10-15,Google DeepMind,"Video,Vision","Image-to-video,Video generation,Text-to-video,Audio generation",
Llama 4 Scout + ScaleRL,2025-10-15,Meta AI,Language,"Language modeling/generation,Question answering,Code generation",11.037426497940624
MAI-Image-1,2025-10-13,Microsoft,Image generation,"Image generation,Text-to-image",
C2S-Scale,2025-10-11,"Google Research,Yale University,Google DeepMind,Brown University,University of Southern California","Language,Biology","Cell Biology,RNA sequence generation,Language modeling/generation,Question answering",10.431363764158988
Ring-1T,2025-10-10,Ant Group,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",12.0
Ling-1T,2025-10-10,Ant Group,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Mathematical reasoning",12.0
Grok Imagine,2025-10-08,xAI,"Image generation,Video","Image generation,Video generation,Text-to-image,Text-to-video,Image-to-image,Image-to-video",
GPT-5 Pro,2025-10-07,OpenAI,"Multimodal,Language,Vision",Unknown,
Gemini 2.5 Computer Use,2025-10-07,Google,"Language,Vision,Video,Multimodal,Speech","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Video description,Speech recognition (ASR),System control,Search",
Tiny Recursive Model (TRM-Att),2025-10-06,Samsung SAIT AI Lab,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Visual puzzles",6.845098040014257
Granite-4.0-H-Tiny,2025-10-02,IBM,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation",9.845098040014257
Granite-4.0-H-Micro,2025-10-02,IBM,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation",9.477121254719663
Granite-4.0-H-Small,2025-10-02,IBM,Language,"Language modeling/generation,Question answering,Text summarization,Text classification,Retrieval-augmented generation,Code generation",10.505149978319906
Octave 2,2025-10-01,Hume,Speech,"Speech synthesis,Text-to-speech (TTS)",
EVI 4 mini,2025-10-01,Hume,Speech,"Speech-to-speech,Audio question answering",
GLM-4.6,2025-09-30,"Z.ai (Zhipu AI),Tsinghua University",Language,"Language modeling/generation,Question answering,Code generation,Quantitative reasoning,System control",11.552668216112194
Sora 2.0,2025-09-30,OpenAI,Video,"Video generation,Text-to-video",
Kandinsky 5.0 Video Lite,2025-09-30,Sber,Video,"Video generation,Text-to-video",9.301029995663981
Claude Sonnet 4.5,2025-09-29,Anthropic,"Language,Vision,Multimodal","Language modeling/generation,Code generation,System control,Question answering,Quantitative reasoning,Mathematical reasoning,Visual question answering",
NVIDIA Isaac GR00T N1.6,2025-09-29,NVIDIA,"Robotics,Vision,Language","Robotic manipulation,Animal (human/non-human) imitation,Instruction interpretation",
Cosmos-Transfer2.5-2B,2025-09-29,NVIDIA,"Video,Image generation","Video generation,Text-to-video,Image-to-video,Image generation,Text-to-image,Video-to-video",9.301029995663981
Cosmos-Predict2.5-14B,2025-09-29,NVIDIA,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",10.146128035678238
Cosmos-Predict2.5 2B,2025-09-29,NVIDIA,Video,"Video generation,Text-to-video,Image-to-video,Video-to-video",9.301029995663981
DeepSeek-V3.2-Exp,2025-09-29,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation",11.826722520168993
MinerU2.5,2025-09-29,"Shanghai AI Lab,Peking University,Shanghai Jiao Tong University","Language,Vision,Multimodal","Visual question answering,Character recognition (OCR)",9.079181246047625
Wan 2.5,2025-09-29,Alibaba,"Video,Vision","Video generation,Audio generation,Text-to-video,Image-to-video",
Seedream 4.0,2025-09-28,ByteDance,Image generation,"Image generation,Text-to-image",
Kling 2.5 Turbo,2025-09-26,Kuaishou Technology,"Video,Vision","Image-to-video,Video generation",
Suno v5,2025-09-25,Suno,Audio,Audio generation,
Gemini Robotics 1.5 ,2025-09-25,Google DeepMind,"Robotics,Vision,Language","Robotic manipulation,Instruction interpretation",
Gemini Robotics-ER 1.5,2025-09-25,Google DeepMind,"Vision,Language,Speech","Instruction interpretation,Robotic manipulation,Image captioning,Object detection,Search,Language modeling/generation,Question answering,Speech recognition (ASR)",
GigaEmbeddings,2025-09-25,"Sber,Moscow Institute of Physics and Technology",Language,Semantic embedding,9.477121254719663
Gemini 2.5 Flash (Sep 2025),2025-09-25,Google DeepMind,"Language,Multimodal,Vision,Speech,Video","Language modeling/generation,Question answering,Code generation,Quantitative reasoning,Visual question answering,Translation,Image captioning,Speech recognition (ASR),Video description,Search,Text summarization,Chat",
Gemini 2.5 Flash-Lite (Sep 2025),2025-09-25,Google DeepMind,"Language,Vision,Video,Speech,Multimodal","Language modeling/generation,Question answering,Translation,Text classification,Quantitative reasoning,Search,Code generation,Visual question answering,Video description,Speech recognition (ASR),Character recognition (OCR),System control",
SimpleFold,2025-09-23,Apple,Biology,Protein folding prediction,9.477121254719663
DeepSeek-V3.1-Terminus,2025-09-22,DeepSeek,Language,"Language modeling/generation,Code generation,Quantitative reasoning,Question answering,Search,System control,Instruction interpretation",11.826722520168993
Qwen3-Omni-Flash,2025-09-22,Alibaba,"Multimodal,Language,Vision,Speech,Video","Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Speech recognition (ASR),Speech synthesis,Speech-to-text,Text-to-speech (TTS)",10.547774705387823
Qwen3-Omni-30B-A3B,2025-09-22,Alibaba,"Multimodal,Language,Vision,Speech,Video","Language modeling/generation,Question answering,Visual question answering,Image captioning,Video description,Speech recognition (ASR),Speech synthesis,Speech-to-text,Text-to-speech (TTS)",10.547774705387823
Grok 4 Fast,2025-09-19,xAI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Search,Code generation,Mathematical reasoning",
Magistral Small 1.2,2025-09-18,Mistral AI,"Language,Vision,Multimodal","Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation,Visual question answering,Image captioning",10.380211241711606
Magistral Medium 1.2,2025-09-18,Mistral AI,Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation,Translation",
Granite-Docling,2025-09-17,IBM,"Vision,Multimodal,Language","Visual question answering,Character recognition (OCR),Retrieval-augmented generation",8.411619705963231
AgentFounder-30B,2025-09-16,Alibaba,Language,"Language modeling/generation,Question answering,System control,Quantitative reasoning,Mathematical reasoning,Code generation,Search",10.477121254719663
Fabric 1.0,2025-09-15,Veed,Video,"Video generation,Image-to-video",
GPT‑5-Codex,2025-09-15,OpenAI,Language,"Code generation,System control",
Qwen3-Next-80B-A3B,2025-09-10,Alibaba,Language,"Language modeling/generation,Question answering,System control,Code generation",10.903089986991944
Lucid Origin,2025-09-10,Leonardo AI,Video,"Video generation,Text-to-video",
Ling-mini-base-2.0-20T,2025-09-10,Ant Group,Language,"Language modeling/generation,Question answering",10.204119982655925
Ling-flash-base-2.0-20T,2025-09-10,Ant Group,Language,"Language modeling/generation,Question answering",11.0
K2 Think,2025-09-09,"Mohamed bin Zayed University of Artificial Intelligence (MBZUAI),G42",Language,"Language modeling/generation,Question answering,Quantitative reasoning,Code generation",10.505149978319906
Signal Processing Transformer,2025-09-09,Softbank,Other,Signal processing,
Qwen3-Max,2025-09-05,Alibaba,Language,"Language modeling/generation,Question answering,Mathematical reasoning,Code generation,Quantitative reasoning,Retrieval-augmented generation,Translation",12.0
EmbeddingGemma,2025-09-05,Google DeepMind,Language,Semantic embedding,8.488550716500445
Chatterbox Multilingual,2025-09-04,Resemble AI,Speech,"Text-to-speech (TTS),Speech synthesis",
Apertus 8B,2025-09-02,"ETH Zurich,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swiss National Supercomputing Centre (CSCS),Swisscom",Language,"Language modeling/generation,Question answering,Code generation,Translation",9.903089986991944
Apertus 70B,2025-09-02,"ETH Zurich,Ecole Polytechnique F´ed´erale de Lausanne (EPFL),Swiss National Supercomputing Centre (CSCS),Swisscom",Language,"Language modeling/generation,Question answering,Code generation,Translation",10.845098040014257
LongCat-Flash,2025-09-01,Meituan Inc,Language,"Language modeling/generation,Question answering,Chat,Code generation,Quantitative reasoning,Instruction interpretation",11.7481880270062
MultiverSeg,2025-08-31,"Massachusetts Institute of Technology (MIT),Databricks","Vision,Biology,Medicine",Image segmentation,
gpt-realtime,2025-08-28,OpenAI,"Speech,Vision,Language","Speech recognition (ASR),Speech synthesis,Visual question answering,Speech-to-speech,Audio question answering",
